semantic_id,english,chinese,motion_chain,key_joints,weight_shift,gaze_cue,expression_cue,required_prop,forbidden_elements,confusable_with,qa_readability_cue,version,status
tpr-003-high-five,High five,击掌,单臂抬起并与画面边缘的手掌接触或即将接触,肩;肘;腕;掌心,向互动侧轻微前倾且支撑脚稳定,看向对方手掌,期待或开心,局部对方手掌或前臂,第二个完整人物,tpr-004-clap,只用主角色的一只手与外部手掌互动,2,approved
tpr-004-clap,Clap your hands,拍拍手,双掌在胸前中线相向合拢,双肩;双肘;双腕;双掌,双脚均匀承重,看向双手,开心或专注,none,伙伴手,tpr-003-high-five,两只手都属于主角色并彼此相击,2,approved
tpr-022-touch-elbows,Touch your elbows,摸摸手肘,双臂交叉屈曲并让双手分别接触对侧手肘,双肩;双肘;双腕;双手,双脚均匀承重,看向其中一侧手肘,专注或开心,none,摸耳朵;双手只碰前臂,tpr-012-grab-arms,两只手必须清楚接触手肘关节位置,1,approved
tpr-006-wave-arms,Wave your arms,挥动双臂,肩关节带动整条手臂作大幅弧线,双肩;双肘;躯干,髋部和躯干反向平衡,跟随一侧手臂运动方向,兴奋,none,僵直对称,tpr-007-wave-hands,上臂位置必须明显变化,1,approved
tpr-007-wave-hands,Wave your hands,挥动双手,上臂稳定而手腕带动手掌左右摆动,双肘;双腕;双掌,重心稳定且躯干变化小,看向挥手对象或镜头,友好开心,none,肩部大摆臂,tpr-006-wave-arms,动作焦点必须在手腕和手掌,1,approved
tpr-tap-nose,Tap your nose,点点鼻子,单根食指指腹轻点鼻尖,食指;腕;鼻尖,中立站姿或坐姿,看向指尖与鼻尖,轻松好奇,none,夹鼻;悬空指向,tpr-054-touch-nose;tpr-058-pinch-nose,必须呈小面积瞬时点触,1,approved
tpr-054-touch-nose,Touch your nose,摸鼻子,一至两根手指自然停放在鼻部,手指;腕;鼻部,中立,看向接触处或前方,自然,none,点按;夹紧,tpr-tap-nose;tpr-058-pinch-nose,必须是持续放松接触,1,approved
tpr-058-pinch-nose,Pinch your nose,捏鼻子,拇指与食指从鼻子两侧相向夹住,拇指;食指;鼻部,中立,看向鼻部或前方,俏皮,none,单指触碰,tpr-tap-nose;tpr-054-touch-nose,鼻子必须位于两指之间,1,approved
tpr-045-blink-eyes,Blink your eyes,眨眼睛,双侧眼睑同时处于快速闭合中段,双眼睑;眉部,身体和头部稳定,无需明确方向,自然瞬间,none,手遮眼,tpr-046-close-eyes;tpr-074-wink,双眼同步且短暂半闭或闭合,1,approved
tpr-063-big-yawn,Give a big yawn,打个大哈欠,嘴巴大幅张开且一只手自然靠近嘴前并带动肩胸轻微伸展,下颌;嘴唇;眼睑;肩;手,身体稳定并略向后伸展,前方或略向上,明显困倦,none,只有张嘴而没有困倦线索,tpr-048-open-mouth,大张嘴;困倦眼神;手靠近嘴三项中至少两项清楚可见,1,approved
