id,stage,label_cn,family_cn,default_tier,visual_direction,recommend_when,within_range_diversity,do_not_infer,near_neighbors,style_groups
"C01","color","深色稳重","明度与温度","core","整体低明度、轮廓有重量、画面稳定","可见五官或角色标记对比清楚，且完整人像需要更强轮廓承托时","在低明度范围内轮换冷暖倾向、饱和度、主辅面积、明暗层次与材质光泽","不得推断成熟、严肃、职业、性格或指定深色颜色","C15","not-applicable"
"C02","color","浅色清透","明度与温度","core","整体高明度、轻盈通透、留白友好","可见特征较柔和或用户希望画面轻快时；必须保留白底边缘可读性","在高明度范围内轮换冷暖倾向、柔雾或清亮程度、局部深浅锚点与材质质感","不得推断年轻、纯真、女性化或指定浅色颜色","C10","not-applicable"
"C03","color","暖色柔和","明度与温度","core","整体偏暖、亲和但不过度甜腻","多张原图的暖向视觉线索稳定，或需要缓和较强面部与发型对比时","在暖向范围内轮换明度、饱和度、柔和与明快比例、主辅面积及材质","不得把光线或肤色当成民族、季节型或性格结论","C08","not-applicable"
"C04","color","冷色清爽","明度与温度","core","整体偏冷、干净利落、轮廓清晰","可见线条清楚、深浅对比较明确，或希望加强清爽和动作读图效率时","在冷向范围内轮换深浅、纯度、柔和或锐利程度、主辅面积与光泽","不得推断冷淡性格、季节型、肤色优劣或指定冷色颜色","C09","not-applicable"
"C05","color","中性克制","明度与温度","core","色相存在感较低、安静耐看、兼容性高","角色自身识别特征已经突出，服装需要让位于脸部和动作时","轮换偏暖或偏冷中性、深浅比例、纹理、哑光或微光泽以及小面积强调","不得等同黑白灰、极简风格、职场身份或保守性格","C16","not-applicable"
"C06","color","柔雾低饱和","饱和度与对比","core","整体降饱和、边界柔和、视觉噪声低","可见特征细腻、发型或五官信息较多，需要降低服装竞争感时","轮换明度、冷暖、雾感强弱、同类渐变、局部对比锚点与材料肌理","不得推断柔弱、安静、年龄、性别或具体粉彩颜色","C12","not-applicable"
"C07","color","明亮活力","饱和度与对比","core","较高可见度、清楚明快、适合动作卡缩略阅读","角色表情和动作表现力较强，且需要在打印缩小后保持识别时","轮换明度、冷暖、主次饱和度、大块或小块强调、对比节奏与材质","不得推断幼态、外向、运动能力或使用荧光色","C14;C18","not-applicable"
"C08","color","自然大地","氛围倾向","core","低戏剧性、自然沉着、材质感友好","可见线条和比例偏自然舒展，或需要稳住复杂动作与层次时","轮换深浅、偏暖或偏中性倾向、干湿质感、粗细肌理和局部清亮点","不得推断乡村、民族、户外身份或指定大地颜色","C03;C15","not-applicable"
"C09","color","都市质感","氛围倾向","core","克制、精致、明暗组织清楚","轮廓利落或面部与发型结构清晰，需要强化现代完整感时","轮换冷暖中性、深浅结构、单一主调或低度撞色、哑光或精细光泽","不得推断财富、职业、社会地位或城市身份","C04;C05","not-applicable"
"C10","color","清新轻盈","氛围倾向","core","明快、呼吸感强、整体重量轻","可见特征柔和、体态线条轻巧，或用户需要友好清晰的教学画面时","轮换高明度冷暖、清亮或柔雾、轻重面积、浅深锚点和透明感材质表象","不得推断年龄、体重、天真、户外场景或指定颜色","C02","not-applicable"
